number,value,datetime_start,datetime_complete,duration,params_balance_method,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_use_focal,state
0,0.08994895905037799,2025-11-06 18:22:19.912074,2025-11-06 18:23:06.631757,0 days 00:00:46.719683,smote_under,0.9819459112971965,0.001360354613611808,11,143,321,0.31044435499483225,8.148018307012941e-07,0.5102922471479012,False,COMPLETE
1,0.12159589702505806,2025-11-06 18:23:06.633705,2025-11-06 18:23:18.754143,0 days 00:00:12.120438,none,0.8711055768358081,0.025579488960947364,7,76,25,6.267062696005991e-07,0.00042472707398058225,0.728034992108518,False,COMPLETE
2,0.0,2025-11-06 18:23:18.756785,2025-11-06 18:23:18.793057,0 days 00:00:00.036272,none,0.6640914962437607,0.16670486450654684,7,24,262,1.254134495897175e-07,0.00028614897264046574,0.8421165132560784,True,COMPLETE
3,0.09935905209840401,2025-11-06 18:23:18.794449,2025-11-06 18:23:54.980559,0 days 00:00:36.186110,smote_under,0.9368964102565893,0.01811326544803337,16,156,30,0.002404915432737351,1.9809253750493907,0.9697494707820946,False,COMPLETE
4,0.09724405851877498,2025-11-06 18:23:54.983702,2025-11-06 18:24:23.511982,0 days 00:00:28.528280,smote_under,0.8813181884524238,0.08071418522169696,7,111,54,4.6876566400928895e-08,7.620481786158549,0.5704621124873813,False,COMPLETE
5,0.11830566205130973,2025-11-06 18:24:23.514713,2025-11-06 18:24:30.763314,0 days 00:00:07.248601,scale_pos_weight,0.7739788760965347,0.05952730245823973,8,27,20,9.507847858536042e-06,3.732717755563729e-08,0.9315517129377968,False,COMPLETE
6,0.11686029763333078,2025-11-06 18:24:30.766953,2025-11-06 18:25:26.596103,0 days 00:00:55.829150,none,0.6962773578186345,0.0018844731205676561,13,115,188,0.0005065186776865479,7.04480806377519e-05,0.8854835899772805,False,COMPLETE
7,0.10078510303057918,2025-11-06 18:25:26.598864,2025-11-06 18:25:51.214006,0 days 00:00:24.615142,smote_under,0.44618794589727584,0.12255687526320075,9,153,37,4.052873758065144e-06,2.824825241715838e-07,0.6143990827458112,False,COMPLETE
8,0.11723004007451772,2025-11-06 18:25:51.216652,2025-11-06 18:25:55.898725,0 days 00:00:04.682073,scale_pos_weight,0.46603115471660606,0.1131892099052994,14,180,102,1.1256839212661599e-06,6.98184330520185e-05,0.6590017374859319,False,COMPLETE
9,0.09516328249346793,2025-11-06 18:25:55.903160,2025-11-06 18:26:22.376511,0 days 00:00:26.473351,smote_under,0.8218113753371068,0.0018871820873117503,16,68,51,1.8735548907110496e-05,5.572354590728726,0.7593953108716831,False,COMPLETE
10,0.118601434539601,2025-11-06 18:26:22.379240,2025-11-06 18:26:50.388502,0 days 00:00:28.009262,none,0.5877816339092762,0.009758665485742522,4,66,17,3.3316309468938505,0.04422317327084507,0.7113756625097372,False,COMPLETE
11,0.11880591939668039,2025-11-06 18:26:50.391507,2025-11-06 18:27:23.531566,0 days 00:00:33.140059,none,0.5871550624427501,0.008485971435867597,4,67,17,2.784215155865574,0.03987664169280857,0.7362817444443062,False,COMPLETE
12,0.11918918394608365,2025-11-06 18:27:23.535443,2025-11-06 18:27:54.201769,0 days 00:00:30.666326,none,0.6056795729597898,0.009292774361404708,4,68,18,0.007321593130371687,0.013961063328469105,0.7899611339675315,False,COMPLETE
13,0.122342341511815,2025-11-06 18:27:54.206144,2025-11-06 18:28:15.357797,0 days 00:00:21.151653,none,0.5820677805331348,0.02659033802496724,6,90,87,0.025322902953311757,0.013095544960906754,0.8248671425512785,False,COMPLETE
14,0.12111506233650333,2025-11-06 18:28:15.361636,2025-11-06 18:28:29.171446,0 days 00:00:13.809810,none,0.8131616966907341,0.027821245420368592,6,88,107,0.0880632873100036,0.003052652904989905,0.8308851073086486,False,COMPLETE
15,0.11973213842511289,2025-11-06 18:28:29.174325,2025-11-06 18:28:38.883028,0 days 00:00:09.708703,none,0.4928345623169207,0.03851293893256866,10,94,473,8.85784870857263e-05,9.331365441941674e-06,0.6548429730283009,False,COMPLETE
16,0.11514253408462961,2025-11-06 18:28:38.886511,2025-11-06 18:29:03.517694,0 days 00:00:24.631183,none,0.7235636673487791,0.003926534006244896,6,37,154,0.02240435982013602,0.0028493536462330356,0.810724309947624,False,COMPLETE
17,0.11580768649192326,2025-11-06 18:29:03.520629,2025-11-06 18:29:18.634926,0 days 00:00:15.114297,scale_pos_weight,0.8961203865795025,0.02046485205185688,6,5,75,0.00037879806304002574,0.30437838288653996,0.8873537362606292,False,COMPLETE
18,0.12266197319124482,2025-11-06 18:29:18.638928,2025-11-06 18:29:29.517388,0 days 00:00:10.878460,none,0.5225097918162374,0.04560531460469594,11,130,31,3.359183778987816e-07,0.0020972217499319926,0.6975928550046506,False,COMPLETE
19,0.12107758757788044,2025-11-06 18:29:29.520850,2025-11-06 18:29:36.666605,0 days 00:00:07.145755,none,0.5294622024690848,0.06404590127016196,12,130,48,1.6045171286430925e-08,0.6624826635963794,0.6597273311745191,False,COMPLETE
